,game_number,team,passing_yards,rushing_yards
265,9,DEN,283,33
266,9,DET,219,97
267,9,GNB,379,69
268,9,HOU,99,181
269,9,IND,281,85
270,9,JAX,265,80
271,9,KAN,178,91
272,9,LAR,165,125
273,9,MIA,240,106
274,9,MIN,307,47
275,9,NOR,303,80
276,9,NWE,316,81
277,9,NYG,240,122
278,9,NYJ,213,140
279,9,OAK,184,218
280,9,PHI,231,208
281,9,PIT,408,48
282,9,SDG,275,208
283,9,SEA,348,96
284,9,SFO,210,83
285,9,TAM,312,80
286,9,TEN,313,80
287,9,WAS,262,128
288,10,ARI,198,135
289,10,ATL,267,48
290,10,BAL,269,101
291,10,BUF,166,183
292,10,CAR,192,50
293,10,CHI,252,93
294,10,CIN,207,93
295,10,CLE,150,33
296,10,DAL,301,118
297,10,DEN,258,103
298,10,DET,278,14
299,10,GNB,360,84
300,10,HOU,243,124
301,10,IND,262,76
302,10,JAX,202,83
303,10,KAN,261,82
304,10,LAR,134,102
305,10,MIA,172,98
306,10,MIN,169,72
307,10,NOR,285,107
308,10,NWE,280,171
309,10,NYG,227,102
310,10,NYJ,163,139
311,10,OAK,295,30
312,10,PHI,218,113
313,10,PIT,167,146
314,10,SDG,326,70
315,10,SEA,287,152
316,10,SFO,206,122
317,10,TAM,331,116
318,10,TEN,305,154
319,10,WAS,375,151
320,11,ARI,289,58
321,11,ATL,269,116
322,11,BAL,234,92
323,11,BUF,166,153
324,11,CAR,246,129
325,11,CHI,316,95
326,11,CIN,283,64
327,11,CLE,246,33
328,11,DAL,195,163
329,11,DEN,368,124
330,11,DET,232,94
331,11,GNB,313,74
332,11,HOU,246,114
333,11,IND,240,91
334,11,JAX,126,183
335,11,KAN,220,83
336,11,LAR,214,69
337,11,MIA,285,95
338,11,MIN,224,82
339,11,NOR,360,209
340,11,NWE,286,91
341,11,NYG,194,104
342,11,NYJ,269,64
343,11,OAK,315,56
344,11,PHI,254,81
345,11,PIT,221,148
346,11,SDG,242,67
347,11,SEA,151,127
348,11,SFO,296,193
349,11,TAM,220,118
350,11,TEN,290,97
351,11,WAS,449,56
352,12,ARI,300,88
353,12,ATL,297,128
354,12,BAL,386,110
355,12,BUF,191,212
356,12,CAR,182,89
357,12,CHI,192,142
358,12,CIN,332,80
359,12,CLE,322,58
360,12,DAL,139,140
361,12,DEN,104,104
362,12,DET,341,85
363,12,GNB,209,109
364,12,HOU,202,123
365,12,IND,289,139
366,12,JAX,181,154
367,12,KAN,270,123
368,12,LAR,161,36
369,12,MIA,226,62
370,12,MIN,253,87
371,12,NOR,326,50
372,12,NWE,269,133
373,12,NYG,195,56
374,12,NYJ,216,36
375,12,OAK,260,139
376,12,PHI,308,53
377,12,PIT,289,117
378,12,SDG,225,119
379,12,SEA,315,240
380,12,SFO,39,141
381,12,TAM,280,81
382,12,TEN,226,149
383,12,WAS,271,87
384,13,ARI,145,175
385,13,ATL,237,66
386,13,BAL,324,42
387,13,BUF,228,67
388,13,CAR,160,126
389,13,CHI,212,92
390,13,CIN,180,213
391,13,CLE,104,169
392,13,DAL,165,108
393,13,DEN,350,18
394,13,DET,223,114
395,13,GNB,246,93
396,13,HOU,147,185
397,13,IND,276,83
398,13,JAX,257,85
399,13,KAN,264,65
400,13,LAR,235,104
401,13,MIA,242,83
402,13,MIN,292,85
403,13,NOR,257,46
404,13,NWE,406,95
405,13,NYG,193,93
406,13,NYJ,257,188
407,13,OAK,117,135
408,13,PHI,314,95
409,13,PIT,220,240
410,13,SDG,236,58
411,13,SEA,240,136
412,13,SFO,133,248
413,13,TAM,184,104
414,13,TEN,88,180
415,13,WAS,234,107
416,14,ARI,318,116
417,14,ATL,302,248
418,14,BAL,206,151
419,14,BUF,174,280
420,14,CAR,300,148
421,14,CHI,362,95
422,14,CIN,157,76
423,14,CLE,196,107
424,14,DAL,279,185
425,14,DEN,282,58
426,14,DET,273,56
427,14,GNB,252,226
428,14,HOU,308,79
429,14,IND,250,161
430,14,JAX,92,67
431,14,KAN,163,157
432,14,LAR,167,47
433,14,MIA,236,67
434,14,MIN,291,34
435,14,NOR,389,130
436,14,NWE,188,136
437,14,NYG,201,114
438,14,NYJ,266,116
439,14,OAK,213,145
440,14,PHI,170,169
441,14,PIT,286,97
442,14,SDG,206,73
443,14,SEA,229,72
444,14,SFO,183,107
445,14,TAM,247,52
446,14,TEN,241,148
447,14,WAS,315,29
448,15,ARI,284,94
449,15,ATL,277,152
450,15,BAL,262,122
451,15,BUF,329,272
452,15,CAR,198,119
453,15,CHI,323,140
454,15,CIN,268,50
455,15,CLE,175,124
456,15,DAL,222,164
457,15,DEN,183,63
458,15,DET,260,90
459,15,GNB,347,40
460,15,HOU,176,95
461,15,IND,288,102
462,15,JAX,345,84
463,15,KAN,246,238
464,15,LAR,90,99
465,15,MIA,233,261
466,15,MIN,382,93
467,15,NOR,299,123
468,15,NWE,220,114
469,15,NYG,356,114
470,15,NYJ,136,111
471,15,OAK,261,210
472,15,PHI,168,118
473,15,PIT,279,127
474,15,SDG,322,34
475,15,SEA,350,78
476,15,SFO,266,70
477,15,TAM,277,89
478,15,TEN,223,58
479,15,WAS,270,208
480,16,ARI,263,84
481,16,ATL,331,142
482,16,BAL,279,72
483,16,BUF,182,68
484,16,CAR,237,128
485,16,CHI,149,183
486,16,CIN,226,153
487,16,CLE,232,231
488,16,DAL,151,69
489,16,DEN,206,143
490,16,DET,347,76
491,16,GNB,300,153
492,16,HOU,278,46
493,16,IND,321,94
494,16,JAX,301,182
495,16,KAN,264,103
496,16,LAR,143,52
497,16,MIA,205,75
498,16,MIN,250,124
499,16,NOR,350,132
500,16,NWE,276,120
501,16,NYG,180,161
502,16,NYJ,210,127
503,16,OAK,171,57
504,16,PHI,245,114
505,16,PIT,277,69
506,16,SDG,269,129
507,16,SEA,300,87
508,16,SFO,215,62
509,16,TAM,202,112
510,16,TEN,150,103
511,16,WAS,287,38
