,date,game_number,team,passing_yards,rushing_yards
169,2016-10-16,6,DAL,247,191
170,2016-10-16,6,DET,270,83
171,2016-10-16,6,HOU,269,158
172,2016-10-16,6,IND,252,161
173,2016-10-16,6,LAR,321,76
174,2016-10-16,6,MIA,252,222
175,2016-10-16,6,NE,376,79
176,2016-10-16,6,NYG,403,38
177,2016-10-16,6,OAK,225,64
178,2016-10-16,6,PIT,189,128
179,2016-10-16,6,SF,187,133
180,2016-10-16,6,TEN,284,137
181,2016-10-16,6,WAS,263,230
182,2016-10-17,6,ARI,225,171
183,2016-10-17,6,NYJ,205,33
184,2016-10-20,6,GB,326,103
185,2016-10-20,7,CHI,130,69
186,2016-10-23,6,JAX,246,105
187,2016-10-23,6,KC,214,112
188,2016-10-23,6,MIN,224,93
189,2016-10-23,6,NO,367,104
190,2016-10-23,6,PHI,138,101
191,2016-10-23,6,SEA,225,52
192,2016-10-23,6,TB,269,249
193,2016-10-23,7,ARI,342,132
194,2016-10-23,7,ATL,273,130
195,2016-10-23,7,BAL,248,11
196,2016-10-23,7,BUF,221,67
197,2016-10-23,7,CIN,308,271
198,2016-10-23,7,CLE,182,180
199,2016-10-23,7,DET,266,94
200,2016-10-23,7,IND,353,81
201,2016-10-23,7,LAR,291,74
202,2016-10-23,7,MIA,204,256
203,2016-10-23,7,NE,222,140
204,2016-10-23,7,NYG,196,36
205,2016-10-23,7,NYJ,215,155
206,2016-10-23,7,OAK,200,144
207,2016-10-23,7,PIT,281,94
208,2016-10-23,7,SDG,371,78
209,2016-10-23,7,SF,143,160
210,2016-10-23,7,TEN,232,124
211,2016-10-23,7,WAS,301,130
212,2016-10-24,7,DEN,157,190
213,2016-10-24,7,HOU,131,140
214,2016-10-27,7,JAX,337,48
215,2016-10-27,8,TEN,280,214
216,2016-10-30,7,CAR,212,141
217,2016-10-30,7,DAL,287,187
218,2016-10-30,7,GB,246,108
219,2016-10-30,7,KC,350,88
220,2016-10-30,7,NO,265,123
221,2016-10-30,7,PHI,202,97
222,2016-10-30,7,SEA,296,74
223,2016-10-30,7,TB,180,102
224,2016-10-30,8,ARI,363,24
225,2016-10-30,8,ATL,288,90
226,2016-10-30,8,BUF,218,167
227,2016-10-30,8,CIN,284,152
228,2016-10-30,8,CLE,345,68
229,2016-10-30,8,DEN,276,57
230,2016-10-30,8,DET,240,58
231,2016-10-30,8,HOU,186,105
232,2016-10-30,8,IND,210,105
233,2016-10-30,8,NE,315,72
234,2016-10-30,8,NYJ,228,171
235,2016-10-30,8,OAK,513,128
236,2016-10-30,8,SDG,267,123
237,2016-10-30,8,WAS,458,100
238,2016-10-31,7,MIN,228,57
239,2016-10-31,8,CHI,252,158
240,2016-11-03,8,TB,336,70
241,2016-11-03,9,ATL,344,136
242,2016-11-06,8,BAL,250,50
243,2016-11-06,8,CAR,225,59
244,2016-11-06,8,DAL,255,168
245,2016-11-06,8,GB,297,116
246,2016-11-06,8,JAX,252,205
247,2016-11-06,8,KC,187,62
248,2016-11-06,8,LAR,296,59
249,2016-11-06,8,MIA,149,137
250,2016-11-06,8,MIN,273,78
251,2016-11-06,8,NO,323,248
252,2016-11-06,8,NYG,257,54
253,2016-11-06,8,PHI,364,96
254,2016-11-06,8,PIT,264,36
255,2016-11-06,8,SF,398,93
256,2016-11-06,9,CLE,203,45
257,2016-11-06,9,DEN,283,33
258,2016-11-06,9,DET,219,97
259,2016-11-06,9,IND,281,85
260,2016-11-06,9,NYJ,213,140
261,2016-11-06,9,OAK,184,218
262,2016-11-06,9,SDG,275,208
263,2016-11-06,9,TEN,313,80
264,2016-11-07,8,SEA,282,33
265,2016-11-07,9,BUF,289,162
266,2016-11-10,9,BAL,296,119
267,2016-11-10,10,CLE,150,33
268,2016-11-13,9,ARI,376,80
269,2016-11-13,9,CAR,261,99
270,2016-11-13,9,CHI,182,122
271,2016-11-13,9,DAL,319,127
272,2016-11-13,9,GB,379,69
273,2016-11-13,9,HOU,99,181
274,2016-11-13,9,JAX,265,80
275,2016-11-13,9,KC,178,91
276,2016-11-13,9,LAR,165,125
277,2016-11-13,9,MIA,240,106
278,2016-11-13,9,MIN,307,47
279,2016-11-13,9,NO,303,80
280,2016-11-13,9,NE,316,81
281,2016-11-13,9,PHI,231,208
282,2016-11-13,9,PIT,408,48
283,2016-11-13,9,SEA,348,96
284,2016-11-13,9,SF,210,83
285,2016-11-13,9,TB,312,80
286,2016-11-13,9,WAS,262,128
287,2016-11-13,10,ATL,267,48
288,2016-11-13,10,DEN,258,103
289,2016-11-13,10,NYJ,163,139
290,2016-11-13,10,SDG,326,70
291,2016-11-13,10,TEN,305,154
292,2016-11-14,9,CIN,204,78
293,2016-11-14,9,NYG,240,122
294,2016-11-17,10,CAR,192,50
295,2016-11-17,10,NO,285,107
