,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,date,game_number,team_y,passing_yards,rushing_yards
51,2016-09-18,2016,2,NE,31.0,24.0,7.0,NE,NE2016-09-18,2016-09-18,2,NE,324,161
52,2016-09-18,2016,2,NO,13.0,16.0,-3.0,NYG,NO2016-09-18,2016-09-18,2,NO,263,41
53,2016-09-18,2016,2,NYG,16.0,13.0,3.0,NYG,NYG2016-09-18,2016-09-18,2,NYG,368,64
54,2016-09-18,2016,2,OAK,28.0,35.0,-7.0,OAK,OAK2016-09-18,2016-09-18,2,OAK,299,155
55,2016-09-18,2016,2,PIT,24.0,16.0,8.0,PIT,PIT2016-09-18,2016-09-18,2,PIT,259,124
56,2016-09-18,2016,2,SDG,38.0,14.0,24.0,SDG,SDG2016-09-18,2016-09-18,2,SDG,220,150
57,2016-09-18,2016,2,SEA,3.0,9.0,-6.0,LAR,SEA2016-09-18,2016-09-18,2,SEA,254,67
58,2016-09-18,2016,2,SF,27.0,46.0,-19.0,CAR,SF2016-09-18,2016-09-18,2,SF,243,65
59,2016-09-18,2016,2,TB,7.0,40.0,-33.0,ARI,TB2016-09-18,2016-09-18,2,TB,243,85
60,2016-09-18,2016,2,TEN,16.0,15.0,1.0,DET,TEN2016-09-18,2016-09-18,2,TEN,238,139
61,2016-09-18,2016,2,WAS,23.0,27.0,-4.0,WAS,WAS2016-09-18,2016-09-18,2,WAS,364,82
62,2016-09-19,2016,2,CHI,14.0,29.0,-15.0,CHI,CHI2016-09-19,2016-09-19,2,CHI,235,64
63,2016-09-19,2016,2,PHI,29.0,14.0,15.0,CHI,PHI2016-09-19,2016-09-19,2,PHI,190,100
64,2016-09-22,2016,3,HOU,0.0,27.0,-27.0,NE,HOU2016-09-22,2016-09-22,3,HOU,196,109
65,2016-09-22,2016,3,NE,27.0,0.0,27.0,NE,NE2016-09-22,2016-09-22,3,NE,103,185
66,2016-09-25,2016,3,ARI,18.0,33.0,-15.0,BUF,ARI2016-09-25,2016-09-25,3,ARI,287,88
67,2016-09-25,2016,3,BAL,19.0,17.0,2.0,JAX,BAL2016-09-25,2016-09-25,3,BAL,214,84
